-1084107209,9980,1395,1000,0
-591727502,0,925,2000,1
-591727502,17332,0,3000,1
-591727502,7968,0,4000,1
-1084107209,471738,478426,5000,0
1884009596,283808,283023,1000,0
1884009596,11362,0,2000,0
-1347477680,333234,395461,3000,0
2096610910,204618,95404,4000,0
2096610910,499235,359263,5000,0
2096610910,498403,482567,6000,0
1237679101,260299,246294,7000,0
1884009596,1471438,392533,8000,0
1884009596,1978557,18206,9000,0
929381456,2476623,499412,10000,0
1884009596,71072,54902,11000,0
1884009596,115806,165724,12000,0
-1645861741,211087,49001,13000,0
1884009596,463564,82189,14000,0
1884009596,961915,33527,15000,0
1884009596,1464245,468594,16000,0
1884009596,179164,154003,17000,1
